CAJA MUNICIPAL DE AHORRO Y CREDITO DE MAYNAS                                              10/04/2021-18:43:24
RUC: 20103845328                                                                                  Pag. 001
                                                                                                              
      REPORTE CIERRE DE PROVISIONES DE CARTERA REPROGRAMADA COVID - CAPITAL     
Cuenta Contable          S.Estadistico           S.Contable           Diferencia
--------------------------------------------------------------------------------
141902070101                  9,299.88             8,495.17              -804.71
141902070102                  7,506.86            10,242.36             2,735.50
141902070103                  4,391.03             5,547.69             1,156.66
141902070104                  7,917.46             7,454.24              -463.22
141902070106                  3,672.90             4,611.05               938.15
141902070107                  6,945.03             9,537.89             2,592.86
141902070110                 10,488.79            13,539.64             3,050.85
141902070112                    164.27             1,171.88             1,007.61
141902070113                  6,127.21             6,446.30               319.09
141902070124                  5,467.73             6,383.21               915.48
141902070125                  5,207.03             2,415.51            -2,791.52
141902070131                  6,225.61             4,867.48            -1,358.13
141902070133                  3,209.23             3,065.39              -143.84
141902070137                 15,934.10            14,642.39            -1,291.71
141902070138                  3,169.68             4,043.18               873.50
141902070139                  1,363.53             1,420.38                56.85
141902070140                  4,103.54             3,761.80              -341.74
141902070141                  5,620.07             7,211.35             1,591.28
141902070142                  2,573.39             3,994.34             1,420.95
141902070143                  2,202.16             2,530.22               328.06
141902070144                    638.47               643.63                 5.16
141902070145                    540.40               583.25                42.85
141902070146                      0.00               695.92               695.92
141903070101                 20,461.28            23,099.71             2,638.43
141903070102                  8,768.29            10,827.63             2,059.34
141903070103                  1,591.67             5,749.16             4,157.49
141903070104                 10,129.10            13,572.48             3,443.38
141903070106                  8,355.76             8,990.39               634.63
141903070107                 14,442.15            15,059.88               617.73
141903070110                 16,270.14            14,346.20            -1,923.94
141903070112                    882.92               882.92                 0.00
141903070113                  2,315.34             1,881.98              -433.36
141903070124                  6,994.51             9,845.46             2,850.95
141903070125                 19,239.77            25,662.38             6,422.61
141903070131                  1,654.09             2,511.19               857.10
141903070133                  1,768.82            29,704.46            27,935.64
141903070137                  6,507.15             5,552.82              -954.33
141903070138                  1,774.51             2,200.90               426.39
141903070139                  3,379.33             3,417.73                38.40
141903070140                 10,017.89            13,370.90             3,353.01
141903070141                  1,497.24             1,367.26              -129.98
141903070142                  2,447.37             4,935.28             2,487.91
141903070143                  1,464.17             2,749.52             1,285.35
141903070145                  1,950.09             1,950.09                 0.00
141903070146                    341.73               370.41                28.68
141913070101                 78,602.25            80,596.94             1,994.69
141913070102                122,485.64           133,946.70            11,461.06
141913070103                 29,138.96            45,613.61            16,474.65
141913070104                 37,478.77            44,741.64             7,262.87
141913070106                  3,703.03            10,462.30             6,759.27
141913070107                 39,363.02            43,220.46             3,857.44
141913070110                131,513.00           140,828.51             9,315.51
141913070112                 11,628.87            10,001.30            -1,627.57
141913070113                  5,413.94             5,032.71              -381.23
141913070124                 42,154.76            40,078.05            -2,076.71
141913070125                 41,855.71            41,896.20                40.49


      REPORTE CIERRE DE PROVISIONES DE CARTERA REPROGRAMADA COVID - CAPITAL     
Cuenta Contable          S.Estadistico           S.Contable           Diferencia
--------------------------------------------------------------------------------
141913070131                 27,707.15            26,787.03              -920.12
141913070133                 23,129.40            26,241.04             3,111.64
141913070137                 36,025.40            24,006.20           -12,019.20
141913070138                 30,937.38            38,218.87             7,281.49
141913070139                 17,380.36            20,369.34             2,988.98
141913070140                 25,041.55            23,535.17            -1,506.38
141913070141                 42,691.28            46,895.27             4,203.99
141913070142                 21,155.21            40,413.54            19,258.33
141913070143                  5,107.04             4,920.28              -186.76
141913070144                 21,488.47            21,488.47                 0.00
141913070145                  1,436.34             5,749.54             4,313.20
141913070146                 11,117.01            10,695.09              -421.92
--------------------------------------------------------------------------------
TOTAL DIFERENCIA          1,061,576.23         1,207,091.28           145,515.05


REPORTE CIERRE DE PROVISIONES DE CARTERA REPROGRAMADA COVID - INTERES DEVENGADO 
Cuenta Contable          S.Estadistico           S.Contable           Diferencia
--------------------------------------------------------------------------------
141902070201                  2,872.00             4,756.24             1,884.24
141902070202                  2,922.11             4,802.39             1,880.28
141902070203                  2,160.22             2,699.35               539.13
141902070204                  4,767.27             6,469.39             1,702.12
141902070206                  4,184.47             4,538.16               353.69
141902070207                  7,028.68             7,046.37                17.69
141902070210                  3,376.06             6,663.83             3,287.77
141902070212                    216.95               251.41                34.46
141902070213                  6,173.09             5,452.48              -720.61
141902070224                  4,290.52             4,568.07               277.55
141902070225                  1,853.15             1,690.68              -162.47
141902070231                  5,760.29             2,111.72            -3,648.57
141902070233                  2,884.25             3,198.72               314.47
141902070237                 21,815.67            17,613.89            -4,201.78
141902070238                  3,466.25             4,107.67               641.42
141902070239                    224.44               139.11               -85.33
141902070240                  1,542.24             1,578.77                36.53
141902070241                  1,285.99             3,375.69             2,089.70
141902070242                  1,085.57               803.60              -281.97
141902070243                    778.51               649.36              -129.15
141902070244                     62.90               407.72               344.82
141902070245                    139.87                65.19               -74.68
141902070246                      0.00               204.50               204.50
141903070201                  7,504.31             6,945.75              -558.56
141903070202                    955.32             2,726.71             1,771.39
141903070203                  1,408.73             1,433.64                24.91
141903070204                  1,728.83             5,498.49             3,769.66
141903070206                  3,248.01             2,666.76              -581.25
141903070207                  2,608.61             2,743.87               135.26
141903070210                  6,833.75             9,600.88             2,767.13
141903070212                     77.53                67.76                -9.77
141903070213                    433.54               250.34              -183.20
141903070224                  5,471.89             3,841.78            -1,630.11
141903070225                 13,345.55            12,217.22            -1,128.33
141903070231                    552.41               525.38               -27.03
141903070233                  2,769.43            22,389.69            19,620.26
141903070237                  3,563.68             1,095.02            -2,468.66
141903070238                  2,769.20             3,110.08               340.88
141903070239                    307.01               179.85              -127.16
141903070240                    327.78               447.83               120.05
141903070241                  1,465.06               957.20              -507.86
141903070242                    207.73               413.39               205.66
141903070243                  1,162.92             1,055.29              -107.63
141903070245                    581.58               373.52              -208.06
141903070246                     44.54                41.91                -2.63
141913070201                 31,567.44            22,875.97            -8,691.47
141913070202                 35,290.57            40,695.06             5,404.49
141913070203                  8,458.00             4,762.19            -3,695.81
141913070204                 17,871.03            11,480.71            -6,390.32
141913070206                    236.62               642.75               406.13
141913070207                 20,026.86            24,801.84             4,774.98
141913070210                 34,562.66            43,726.88             9,164.22
141913070212                  2,111.21             4,615.07             2,503.86
141913070213                  1,841.53             1,363.12              -478.41
141913070224                 24,114.82            26,191.17             2,076.35
141913070225                 13,334.66            14,089.63               754.97


REPORTE CIERRE DE PROVISIONES DE CARTERA REPROGRAMADA COVID - INTERES DEVENGADO 
Cuenta Contable          S.Estadistico           S.Contable           Diferencia
--------------------------------------------------------------------------------
141913070231                 20,919.10            21,726.33               807.23
141913070233                 13,509.41             4,754.47            -8,754.94
141913070237                 29,534.17            18,035.10           -11,499.07
141913070238                  6,399.66            15,224.83             8,825.17
141913070239                  2,685.88             4,636.96             1,951.08
141913070240                 11,662.14            12,495.81               833.67
141913070241                 27,186.03            11,068.55           -16,117.48
141913070242                  4,940.70            12,022.51             7,081.81
141913070243                    406.60               219.20              -187.40
141913070244                 13,652.28            16,036.85             2,384.57
141913070245                     93.42             1,411.53             1,318.11
141913070246                  1,990.09             1,808.14              -181.95
--------------------------------------------------------------------------------
TOTAL DIFERENCIA            458,652.79           476,461.34            17,808.55
                                                  F,66  
